Index,Target_X,Target_Y,Target_Z,Target_A,Target_B,Target_C,Having_Ball,Ball_X,Ball_Y,Ball_Z
0,0.115,0.248,-1.796,0.000,298.835,0.000,1,0.115,0.248,-1.796
1,0.050,1.240,-2.699,0.000,269.875,0.000,1,0.050,1.240,-2.699
2,-1.752,1.301,-2.388,0.000,113.601,0.000,1,-1.752,1.301,-2.388
3,1.994,0.951,-1.602,0.000,107.592,0.000,1,1.994,0.951,-1.602
4,-2.421,1.456,0.673,0.000,287.245,0.000,1,-2.421,1.456,0.673
5,-1.633,0.086,-1.869,0.000,265.834,0.000,1,-1.633,0.086,-1.869
6,2.188,0.591,1.163,0.000,88.420,0.000,1,2.188,0.591,1.163
7,-0.616,1.339,1.831,0.000,167.944,0.000,1,-0.616,1.339,1.831
8,-1.909,0.294,0.898,0.000,327.635,0.000,0,-1.909,0.294,0.898
9,0.084,1.151,0.768,0.000,129.862,0.000,0,0.084,1.151,0.768
10,1.302,1.271,2.166,0.000,243.465,0.000,0,1.302,1.271,2.166
11,1.010,0.049,0.478,0.000,46.738,0.000,0,1.010,0.049,0.478
12,-1.748,1.126,-1.036,0.000,18.232,0.000,0,-1.748,1.126,-1.036
13,2.960,1.279,0.043,0.000,114.415,0.000,0,2.960,1.279,0.043
14,-0.060,0.036,2.055,0.000,165.016,0.000,0,-0.060,0.036,2.055
15,1.060,0.090,-0.937,0.000,275.827,0.000,0,1.060,0.090,-0.937
